20501334279;ANTONIO LEON & ASOCIADOS S.A.C;NP LIMA;NP LIMA;VACANTE;BELLAVISTA;LIMA;PROV. CONST. DEL CALLAO;VACANTE;RAUL MARTINEZ PIEROLA;NO;FIJO_MOVIL
20501438485;ALUMINIO DEL PACIFICO S.A.                                            ;NP ICA;NP ICA;VACANTE;ICA;ICA;ICA;VACANTE;AURA CECILIA GRAJALES MARIN   ;SI;FIJO_MOVIL
20501334219;CESAR LOPEZ & ASOCIADOS S.A.C;NP TRUJILLO;NP TRUJILLO;VACANTE;TRUJILLO;TRUJILLO;TRUJILLO;VACANTE;ALVARO VELEZ DE LA ROSA   ;SI;FIJO_MOVIL
20501334220;ALVARO VELEZ Y CIA LTDA.;NP LIMA;NP LIMA;VACANTE;LIMA;LIMA;LIMA;OCUPADO;DIEGO MAURICIO RUBIO ROMERO   ;NO;FIJO
20501334325;INVERSIONES ALBAIDA S.A.;NP TACNA;NP TACNA;VACANTE;TACNA;TACNA;TACNA;VACANTE;SINCO LTDA 809000248   ;SI;MOVIL
20501334430;SINCO LTDA S.C.A.                                                                                   ;NP PIURA;NP PIURA;VACANTE;PIURA;PIURA;PIURA;OCUPADO;JESUS GALEANA MONTES   ;SI;FIJO_MOVIL
20501334535;DOW CORNING DE COLOMBIA S.A.;NP ICA;NP ICA;VACANTE;ICA;ICA;ICA;OCUPADO;ROSARIO MAZUERA DE KLING   ;NO;FIJO
20501334640;RK Y M LTDA Y CIA S.EN C.                                                                           ;NP TRUJILLO;NP TRUJILLO;VACANTE;TRUJILLO;TRUJILLO;TRUJILLO;VACANTE;CARLOS FERNANDO GEDEON JUAN   ;SI;FIJO
20501334745;SUMAZARI S.A;NP LIMA;NP LIMA;VACANTE;LIMA;LIMA;LIMA;VACANTE;JOSE NAPOLEON RUIZ CUBILLOS   ;SI;MOVIL
20501334850;DISTRIBUIDORA CALYPSO BOGOTA LTDA;NP TACNA;NP TACNA;VACANTE;TACNA;TACNA;TACNA;VACANTE;LUCILA ESCOBAR ARISTIZABAL   ;NO;MOVIL
20501334955;RUDESCO S.A.;NP PIURA;NP PIURA;VACANTE;PIURA;PIURA;PIURA;OCUPADO;DIANA VIDALES LARRARTE   ;SI;FIJO_MOVIL
